RESPNUM,CCGID,RUN,INTDATE,GATE,STRATA,PEAK,METHOD,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,Q2PURP1,Q2PURP2,Q2PURP3,Q2PURP4,Q2PURP5,Q2PURP6,Q3GETTO1,Q3GETTO2,Q3GETTO3,Q3GETTO4,Q3GETTO5,Q3GETTO6,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q4WIFI,Q5FLYPERYR,Q6TENURE,SAQ,Q7A_ART,Q7B_FOOD,Q7C_SHOPS,Q7D_SIGNS,Q7E_WALK,Q7F_SCREENS,Q7G_INFOARR,Q7H_INFODEP,Q7I_WIFI,Q7J_ROAD,Q7K_PARK,Q7L_AIRTRAIN,Q7M_LTPARK,Q7N_RENTAL,Q7O_WHOLE,Q8COM1,Q8COM2,Q8COM3,Q9A_CLNBOARD,Q9B_CLNAIRTRAIN,Q9C_CLNRENT,Q9D_CLNFOOD,Q9E_CLNBATH,Q9F_CLNWHOLE,Q9COM1,Q9COM2,Q9COM3,Q10SAFE,Q10COM1,Q10COM2,Q10COM3,Q11A_USEWEB,Q11B_USESFOAPP,Q11C_USEOTHAPP,Q11D_USESOCMED,Q11E_USEWIFI,Q12COM1,Q12COM2,Q12COM3,Q13_WHEREDEPART,Q13_RATEGETTO,Q14A_FIND,Q14B_SECURITY,Q15_PROBLEMS,Q15COM1,Q15COM2,Q15COM3,Q16_REGION,Q17_CITY,Q17_ZIP,Q17_COUNTRY,HOME,Q18_AGE,Q19_SEX,Q20_INCOME,Q21_HIFLYER,Q22A_USESJC,Q22B_USEOAK,LANG,WEIGHT
966,1618,1921,9,11,3,2,1,21,648,61,2,4,8:00 PM,10:10 PM,2,8,,,,,8,10,,,,,,0,0,1,1,2,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,200,,,4,4,5,3,3,4,,,,5,,,,2,2,2,2,1,,,,12,3,4,3,2,,,,3,ATLANTA,30324,US,12,3,1,0,2,2,2,1,0.553675
967,1619,1921,9,11,3,2,1,21,648,61,2,4,8:00 PM,10:10 PM,2,8,,,,,5,10,,,,,,1,1,0,1,1,1,2,6,4,4,4,4,4,6,6,5,3,6,6,6,6,4,,,,5,6,6,4,6,4,,,,4,,,,1,2,1,2,1,4,,,5,4,4,4,2,,,,3,ANKANA,,TURKEY,17,2,1,4,1,2,2,1,0.553675
968,1620,1921,9,11,3,2,1,21,648,61,2,4,8:35 PM,10:10 PM,2,8,,,,,1,10,,,,,2,2,2,1,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,5,0,0,0,4,4,,,,4,,,,2,2,2,2,1,,,,12,0,3,4,2,,,,1,SAN FRANCISCO,94158,US,1,3,2,3,2,1,1,1,0.553675
969,1621,2103,11,68,2,1,1,33,492,92,3,2,10:20 AM,12:25 PM,3,8,,,,,2,10,,,,,,2,2,2,2,1,2,1,5,6,5,5,6,5,6,6,6,5,5,5,6,6,4,,,,5,6,6,6,5,5,,,,4,16,,,2,2,2,2,2,,,,4,5,5,5,2,,,,1,NAPA,94558,US,9,2,2,1,2,2,1,1,1.870831
970,1622,2103,11,68,2,1,1,33,492,92,3,2,10:30 AM,12:25 PM,3,8,,,,,1,10,,,,,4,1,2,2,2,1,4,1,3,6,6,4,4,4,6,6,6,6,4,6,6,6,4,,,,4,6,6,6,4,4,,,,4,1,,,2,2,2,2,2,,,,34,4,4,4,2,,,,2,ATWATER,95301,US,10,7,1,0,2,2,2,1,1.870831
971,1623,2103,11,68,2,1,1,33,492,92,3,2,10:00 AM,12:25 PM,2,8,,,,,8,10,,,,,,1,2,2,1,1,1,1,6,6,6,4,5,5,6,6,4,5,6,5,6,4,4,,,,5,5,6,6,5,5,,,,5,5,,,2,2,2,2,1,,,,13,4,4,5,2,,,,3,ST LOUIS,63034,US,11,6,2,3,2,2,2,1,1.870831
972,1624,2103,11,68,2,1,1,33,492,92,3,2,10:30 AM,12:25 PM,2,8,,,,,5,10,,,,,,2,2,1,2,2,4,1,3,4,6,4,4,4,6,6,6,6,6,4,6,6,4,,,,4,4,6,6,4,4,,,,5,5,,,2,2,2,2,2,,,,2,4,4,3,2,,,,1,MARTINEZ,94553,US,5,6,1,3,2,2,1,1,1.870831
973,1625,2103,11,68,2,1,1,33,492,92,3,2,10:05 AM,12:25 PM,3,8,,,,,2,10,,,,,,2,2,2,1,3,2,1,4,4,4,4,3,4,6,6,2,4,6,4,6,6,4,204,,,4,4,6,4,3,4,,,,5,1,,,2,2,1,2,1,,,,5,4,4,4,2,,,,1,SAN FRANCISCO,94103,US,1,4,2,4,2,2,2,1,1.870831
974,1626,2103,11,68,2,1,1,33,492,92,3,2,9:10 AM,12:25 PM,2,8,,,,,8,10,,,,,,2,1,1,2,1,1,1,6,5,4,4,4,4,6,6,6,4,6,4,6,5,4,,,,4,4,4,6,4,4,,,,5,24,,,2,2,2,2,2,,,,6,4,5,4,2,,,,3,CLARKSVILLE,37040,US,11,6,2,1,2,2,2,1,1.870831
975,1627,2103,11,68,2,1,1,33,492,92,3,2,10:45 AM,12:25 PM,3,8,,,,,3,10,,,,,,2,2,2,2,1,1,1,6,6,6,4,4,3,6,6,6,6,6,6,6,6,3,,,,4,6,6,6,4,4,,,,5,22,,,2,2,2,2,2,,,,11,0,3,6,2,,,,3,PALM SPRINGS,92264,US,10,5,1,1,2,2,2,1,1.870831
976,1628,2103,11,68,2,1,1,33,492,92,3,2,10:30 AM,12:25 PM,1,8,,,,,8,10,,,,,,1,1,2,1,3,4,2,0,2,2,4,1,4,6,6,0,4,6,3,6,4,2,,,,3,3,6,6,3,3,,,,5,,,,2,2,2,2,1,,,,7,0,3,5,1,18,,,3,ST LOUIS,63119,US,11,4,1,4,1,2,2,1,1.870831
977,1629,2103,11,68,2,1,1,33,492,92,3,2,11:00 AM,12:25 PM,3,8,,,,,2,10,,,,,,1,1,2,2,1,1,2,6,4,3,4,3,3,6,6,6,4,6,6,6,6,4,172,,,5,6,6,6,4,4,,,,4,2,1,,2,2,2,2,3,,,,6,3,5,5,1,5,,,3,ST LOUIS,63116,US,11,3,2,2,2,2,2,1,1.870831
978,1630,2103,11,68,2,1,1,33,492,92,3,2,9:30 AM,12:25 PM,2,8,,,,,3,10,,,,,,0,0,1,1,3,4,2,6,4,4,4,4,0,6,6,0,6,6,5,6,5,5,903,,,4,4,4,4,2,3,,,,5,,,,2,2,2,2,2,,,,11,4,5,3,2,,,,3,EDWARDSVILLE,62025,US,11,7,1,0,3,2,2,1,1.870831
979,1631,2103,11,68,2,1,1,33,492,92,3,2,9:00 AM,12:25 PM,3,8,,,,,2,10,,,,,,1,2,2,2,1,1,2,6,6,0,4,6,4,5,4,6,4,6,6,6,6,4,,,,4,6,6,6,5,4,,,,3,,,,2,2,2,2,2,,,,10,4,4,3,2,,,,2,STOCKTON,95206,US,10,5,2,2,2,2,2,1,1.870831
980,1632,2103,11,68,2,1,1,33,492,92,3,2,N,12:25 PM,6,8,,,,,3,10,,,,,,1,2,2,2,1,4,2,6,6,6,6,6,3,6,6,6,6,6,6,6,6,3,,,,4,6,6,6,3,4,,,,4,,,,2,2,2,2,2,,,,11,3,4,3,2,,,,3,KENNETH,63857,US,11,7,1,3,2,2,2,1,1.870831
981,1633,2103,11,68,2,1,1,33,492,92,3,2,9:00 AM,12:25 PM,2,8,,,,,7,10,,,,,,2,2,1,1,1,1,2,3,3,3,4,3,4,6,6,5,5,6,6,6,6,4,,,,5,6,6,5,5,5,,,,4,5,,,2,2,2,1,1,4,13,,5,5,4,5,1,24,,,3,ST LOUIS,63113,US,11,3,2,3,2,2,2,1,1.870831
982,1634,2103,11,68,2,1,1,33,492,92,3,2,8:10 AM,12:25 PM,1,8,,,,,3,10,,,,,2,1,1,2,1,1,1,2,3,4,4,3,5,5,4,4,5,6,6,6,6,6,4,,,,5,6,6,5,5,5,,,,5,,,,2,2,2,2,1,,,,11,4,4,4,2,,,,3,SHANGHAI,,CHINA,16,3,1,0,2,2,2,1,1.870831
983,1635,2103,11,68,2,1,1,33,492,92,3,2,9:45 AM,12:25 PM,3,8,,,,,2,10,,,,,,2,2,1,1,1,3,2,5,5,5,5,5,5,5,5,1,5,5,6,6,6,3,70,,,5,5,5,5,5,5,,,,5,,,,2,2,2,2,2,,,,1,5,5,5,1,24,,,1,HAYWARD,94544,US,3,3,2,2,2,1,1,1,1.870831
984,1636,2103,11,68,2,1,1,33,492,92,3,2,10:30 AM,12:25 PM,3,8,,,,,1,10,,,,,0,2,2,1,2,4,4,2,5,5,5,5,3,5,6,6,6,5,5,6,6,6,5,263,,,5,6,6,5,5,4,,,,4,6,,,2,2,2,2,2,,,,5,5,5,5,2,,,,1,SAN FRANCISCO,94121,US,1,7,1,4,2,2,2,1,1.870831
985,1637,2103,11,68,2,1,1,33,492,92,3,2,10:55 AM,12:25 PM,1,8,,,,,3,10,,,,,,2,2,1,2,1,2,2,4,4,5,5,4,4,4,4,5,5,4,4,4,5,5,,,,5,5,5,5,5,5,,,,5,24,,,1,2,2,2,1,,,,11,4,5,5,2,,,,3,EUGENE,97401,US,10,4,2,2,2,2,2,1,1.870831
986,1638,2103,11,68,2,1,1,33,492,92,3,2,9:30 AM,12:25 PM,1,8,,,,,3,10,,,,,,1,0,1,1,1,1,2,6,3,6,6,4,5,5,6,4,6,6,6,6,6,4,911,,,4,6,6,4,4,4,89,,,4,,,,3,2,2,2,1,,,,11,4,5,5,2,,,,3,FT LEONARD WOOD,65473,US,11,4,1,2,2,2,2,1,1.870831
987,1639,2103,11,68,2,1,1,33,492,92,3,2,10:30 AM,12:25 PM,1,8,,,,,3,10,,,,,,2,2,2,2,3,3,2,3,3,6,4,4,4,4,3,6,6,6,6,6,6,4,217,,,3,3,6,3,0,3,,,,4,,,,2,2,2,2,2,,,,11,0,4,0,2,,,,3,DALIAN,,CHINA,16,7,1,4,1,2,2,1,1.870831
1036,1072,1808,8,26,1,2,1,35,658,71,2,3,9:00 AM,11:30 AM,1,8,,,,,4,10,,,,,,1,2,1,2,3,4,2,3,2,2,4,4,4,4,4,4,5,5,4,4,5,3,,,,5,5,5,2,2,3,,,,3,,,,2,2,2,2,1,,,,5,5,5,1,2,,,,3,,,,99,5,1,0,2,2,2,1,0.892167
988,1640,2103,11,68,2,1,1,33,492,92,3,2,9:30 AM,12:25 PM,2,8,,,,,8,10,,,,,,2,2,1,2,1,1,2,6,6,3,3,3,3,3,3,6,3,6,4,6,3,3,32,,,4,4,4,6,3,3,,,,3,,,,2,2,2,2,2,,,,5,4,4,3,2,,,,3,POPLAR BLUFF,63901,US,11,6,2,1,2,2,2,1,1.870831
989,1641,2103,11,68,2,1,1,33,492,92,3,2,10:45 AM,12:25 PM,2,8,,,,,3,10,,,,,,1,1,2,2,1,1,2,3,6,4,4,4,4,6,6,6,6,6,6,6,6,4,,,,4,6,6,6,6,4,,,,4,,,,2,2,2,2,2,,,,11,6,5,4,2,,,,3,ROCKFORD,61108,US,11,3,1,1,2,2,2,1,1.870831
990,1642,2103,11,68,2,1,1,33,492,92,3,2,10:45 AM,12:25 PM,3,8,,,,,1,10,,,,,1,0,0,0,0,0,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,5,6,6,5,5,5,,,,5,,,,2,2,2,2,2,,,,7,5,5,5,2,,,,1,SAN JOSE,95117,US,4,6,2,2,2,1,2,1,1.870831
991,1643,2103,11,68,2,1,1,33,492,92,3,2,10:30 AM,12:25 PM,2,3,8,,,,2,10,,,,,,1,0,1,0,1,2,2,4,4,6,4,5,4,6,6,6,4,4,6,6,6,5,,,,5,6,6,5,4,5,,,,5,,,,2,2,2,2,2,,,,23,4,5,5,2,,,,3,SCOTT AFB,62225,US,11,3,2,2,2,2,2,1,1.870831
992,1644,2103,11,68,2,1,1,33,492,92,3,2,10:00 AM,12:25 PM,3,8,,,,,2,10,,,,,,1,1,1,1,3,4,2,4,3,3,3,3,4,4,4,4,6,6,6,6,6,4,200,,,3,6,6,3,3,3,,,,4,24,,,1,1,3,0,1,4,,,6,3,4,4,2,,,,1,PACIFICA,94044,US,2,6,2,2,2,2,0,1,1.870831
993,1519,1909,9,7,1,1,1,7,305,88,1,3,4:00 AM,11:05 AM,1,8,,,,,4,10,,,,,,2,2,2,2,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,4,4,4,4,4,4,,,,5,4,,,1,2,1,2,1,,,,5,0,4,4,2,,,,3,BELLVUE,98005,US,10,4,1,4,2,0,1,1,0.553675
994,1520,1909,9,7,1,1,1,7,305,88,1,3,8:00 AM,11:05 AM,1,8,,,,,6,10,,,,,,1,1,1,1,2,4,2,3,2,3,4,4,4,3,3,4,4,3,3,3,3,4,215,,,4,4,4,4,3,4,,,,4,,,,1,2,2,2,1,,,,4,4,4,1,2,,,,3,YOKAHAMA,,JAPAN,16,5,1,4,1,1,2,1,0.553675
995,1521,1909,9,7,1,1,1,7,305,88,1,3,8:30 AM,11:05 AM,2,3,8,,,,8,10,,,,,,1,0,0,0,0,2,2,6,3,3,3,4,3,3,3,2,3,6,0,0,0,3,223,,,4,4,4,4,3,3,,,,3,,,,2,2,2,2,1,,,,6,4,4,4,2,,,,3,SEATTLE,98027,US,10,6,1,3,1,0,1,1,0.553675
996,1522,1909,9,7,1,1,1,7,305,88,1,3,9:00 AM,11:05 AM,3,8,,,,,4,10,,,,,,2,2,2,2,4,1,2,3,3,3,4,4,4,6,6,4,4,4,4,4,4,4,,,,4,4,4,4,4,4,,,,4,,,,1,2,2,2,1,,,,5,0,4,4,2,,,,1,SAN FRANCISCO,94114,US,1,3,2,3,2,1,1,1,0.553675
997,1523,1909,9,7,1,1,1,7,305,88,1,3,8:00 AM,11:05 AM,2,8,,,,,7,10,,,,,,1,1,1,2,1,1,2,4,3,3,4,3,4,2,2,2,4,6,6,6,6,4,,,,5,6,6,3,3,4,,,,5,2,,,1,2,2,2,0,,,,31,4,4,4,2,,,,2,PLACERVILLE,95667,US,10,5,2,2,2,2,2,1,0.553675
998,1524,1909,9,7,1,1,1,7,305,88,1,3,8:30 AM,11:05 AM,2,8,,,,,2,10,,,,,,1,2,2,1,3,4,2,2,2,3,4,4,4,2,2,4,3,2,6,6,6,4,242,,,3,6,6,4,4,4,,,,4,2,,,2,2,2,2,1,,,,6,5,4,3,2,,,,1,SOUTH SAN FRANCISCO,94080,US,2,3,2,3,1,2,2,1,0.553675
999,1525,1909,9,7,1,1,1,7,305,88,1,3,8:30 AM,11:05 AM,2,8,,,,,7,10,,,,,,2,1,2,2,3,4,2,3,4,3,5,5,5,6,6,4,5,2,6,2,6,4,219,261,2,5,6,6,5,5,5,,,,5,,,,2,2,2,2,1,,,,5,5,5,2,1,26,,,1,NAPA,94558,US,9,7,2,4,2,2,1,1,0.553675
1000,1526,1909,9,7,1,1,1,7,305,88,1,3,8:30 AM,11:05 AM,1,8,,,,,16,10,,,,,,1,0,0,0,3,4,2,5,5,5,1,5,5,5,5,5,5,5,5,5,5,4,178,,,5,5,5,5,5,5,,,,5,,,,2,2,2,2,1,,,,3,5,1,0,1,9,,,1,BELVEDERE,94920,US,6,6,2,2,2,2,2,1,0.553675
1001,1527,1909,9,7,1,1,1,7,305,88,1,3,8:00 AM,11:05 AM,1,8,,,,,2,10,,,,,,1,0,1,0,2,4,2,6,3,3,4,4,4,6,6,6,6,6,6,6,6,4,,,,4,6,6,5,5,4,,,,5,,,,2,2,2,2,2,,,,12,5,5,5,2,,,,3,BONNEY LAKE,98391,US,10,4,2,4,2,1,2,1,0.553675
1002,1528,1909,9,7,1,1,1,7,305,88,1,3,8:30 AM,11:05 AM,3,8,,,,,5,10,,,,,,2,2,2,1,4,4,2,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,204,,,5,5,5,5,5,5,,,,5,,,,1,2,2,2,1,3,,,5,5,5,5,2,,,,1,SAN FRANCISCO,94109,US,1,5,1,4,2,2,1,1,0.553675
1003,1529,1909,9,7,1,1,1,7,305,88,1,3,8:15 AM,11:05 AM,1,8,,,,,8,10,,,,,,2,1,1,1,3,4,2,3,3,3,3,3,3,3,3,3,1,6,4,6,4,4,266,,,4,4,4,4,4,4,,,,4,,,,3,3,3,3,1,,,,12,3,4,4,2,,,,3,SEATTLE,,US,10,5,1,4,2,0,1,1,0.553675
1004,1530,1909,9,7,1,1,1,7,305,88,1,3,8:30 AM,11:05 AM,3,8,,,,,8,10,,,,,,1,1,2,2,1,3,2,0,6,5,5,5,5,6,6,6,6,0,5,0,5,5,,,,5,5,5,6,5,5,,,,5,,,,2,2,2,2,2,,,,6,5,5,5,2,,,,3,WHITEFISH,59937,US,10,4,2,2,2,2,1,1,0.553675
1005,1531,1909,9,7,1,1,1,7,305,88,1,3,N,11:05 AM,2,8,,,,,4,10,,,,,,1,1,1,1,1,1,2,3,2,3,3,2,3,0,3,3,3,6,5,6,4,4,,,,4,4,4,4,4,4,,,,4,,,,2,2,2,2,1,4,,,5,4,4,0,2,,,,3,VANCOUVER,,CANADA,13,5,2,2,2,2,2,1,0.553675
1006,1532,1909,9,7,1,1,1,7,305,88,1,3,8:10 AM,11:05 AM,2,3,8,,,,4,10,,,,,,1,1,1,1,1,1,2,6,3,3,4,4,6,6,6,2,3,6,5,6,5,5,,,,5,5,5,5,5,5,,,,4,,,,2,2,2,2,1,,,,5,4,4,4,1,9,,,3,VANCOUVER,,CANADA,13,5,1,1,2,2,2,1,0.553675
1007,1533,1909,9,7,1,1,1,7,305,88,1,3,8:45 AM,11:05 AM,2,8,,,,,1,10,,,,,3,2,2,1,2,4,1,2,6,4,6,4,4,4,6,6,6,4,3,6,4,4,4,,,,5,5,5,5,5,5,,,,5,,,,1,2,2,2,2,,,,5,4,4,4,2,,,,1,SAN FRANCISCO,,US,1,4,1,4,2,2,1,1,0.553675
1008,1534,1909,9,7,1,1,1,7,305,88,1,3,8:00 AM,11:05 AM,1,8,,,,,4,10,,,,,,2,2,1,2,4,4,2,3,3,3,2,4,4,4,4,5,4,4,6,6,6,4,,,,4,6,6,4,4,4,,,,3,5,,,2,2,2,2,1,,,,5,3,2,3,2,,,,3,WINTHROP,98862,US,10,4,1,4,2,2,2,1,0.553675
1009,1535,1909,9,7,1,1,1,7,305,88,1,3,8:45 AM,11:05 AM,3,8,,,,,2,10,,,,,,2,1,2,1,5,2,2,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,165,,,5,4,6,6,3,5,,,,5,5,,,2,1,2,2,1,,,,5,3,5,4,2,,,,1,SAN FRANCISCO,94109,US,1,3,0,4,2,1,1,1,0.553675
1010,1536,1909,9,7,1,1,1,7,305,88,1,3,8:00 AM,11:05 AM,2,8,,,,,8,10,,,,,,2,2,1,2,1,1,2,0,3,3,4,4,4,4,4,6,4,6,4,6,4,3,,,,4,4,4,4,4,4,,,,5,,,,2,2,2,2,2,,,,5,5,3,0,2,,,,3,OLYMPIA,98512,US,10,5,3,2,2,2,2,1,0.553675
1011,1537,1909,9,7,1,1,1,7,305,88,1,3,8:50 AM,11:05 AM,1,8,,,,,7,10,,,,,,2,2,2,2,2,1,2,3,6,4,3,4,3,6,6,6,3,6,6,6,6,4,,,,5,6,6,6,4,5,,,,4,,,,1,2,2,2,2,14,,,5,5,3,3,2,,,,3,ANCHORAGE,,US,10,4,2,3,2,2,1,1,0.553675
1012,1538,1909,9,7,1,1,1,7,305,88,1,3,7:00 AM,11:05 AM,3,8,,,,,4,10,,,,,,1,2,2,2,2,4,2,5,4,5,5,5,5,5,5,3,3,3,3,3,3,4,,,,4,4,4,4,4,4,,,,3,,,,1,2,2,2,2,,,,6,4,5,5,2,,,,1,PACIFICA,94044,US,2,5,2,1,2,2,2,1,0.553675
1013,1539,1909,9,7,1,1,1,7,305,88,1,3,9:00 AM,11:05 AM,3,8,,,,,2,10,,,,,,0,1,0,0,2,4,2,3,6,4,3,6,4,6,6,6,4,6,6,6,6,4,,,,4,6,6,6,4,4,,,,5,,,,2,2,2,2,2,,,,5,4,3,4,2,,,,3,OLYMPIA,98502,US,10,6,2,1,2,2,1,1,0.553675
1014,1540,1909,9,7,1,1,1,7,305,88,1,3,8:30 AM,11:05 AM,1,8,,,,,4,10,,,,,,2,1,1,2,3,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,910,,,4,6,6,4,3,4,,,,5,,,,2,2,2,2,2,,,,5,4,4,4,2,,,,3,NEW YORK CITY,10128,US,12,3,0,4,2,2,2,1,0.553675
1015,1051,1808,8,26,1,2,1,35,658,71,2,3,8:45 AM,11:30 AM,2,8,,,,,12,10,,,,,,1,2,2,2,2,4,1,4,4,6,4,4,4,6,6,6,6,6,6,6,6,4,907,,,4,6,6,6,6,4,,,,4,3,4,,2,2,2,2,2,,,,5,4,5,4,2,,,,3,SELBYVILLE,19975,US,12,7,2,2,2,2,2,1,0.892167
1016,1052,1808,8,26,1,2,1,35,658,71,2,3,9:10 AM,11:30 AM,5,8,,,,,6,10,,,,,,1,2,2,2,1,1,1,3,6,6,4,6,5,6,6,6,6,6,6,6,6,4,,,,4,6,6,6,4,4,,,,5,2,,,2,2,2,2,2,,,,1,3,5,4,2,,,,3,,,SCOTLAND,15,5,1,5,2,2,2,1,0.892167
1017,1053,1808,8,26,1,2,1,35,658,71,2,3,7:45 AM,11:30 AM,2,8,,,,,2,10,,,,,,1,1,2,1,1,4,1,3,6,6,5,6,6,6,6,4,2,4,6,6,6,3,201,,,5,6,6,6,5,4,,,,5,5,,,2,2,2,2,1,,,,24,4,5,5,1,39,,,2,WATSONVILLE,95076,US,10,2,1,1,2,2,2,1,0.892167
1018,1054,1808,8,26,1,2,1,35,658,71,2,3,9:05 AM,11:30 AM,3,8,,,,,12,10,,,,,,2,2,1,2,2,4,1,2,3,3,3,2,2,6,6,6,6,6,6,6,6,2,910,,,3,6,6,3,6,3,,,,4,5,,,2,2,2,2,2,,,,5,5,4,4,2,,,,3,SARASOTA,34242,US,12,6,1,0,2,1,1,1,0.892167
1019,1055,1808,8,26,1,2,1,35,658,71,2,3,9:00 AM,11:30 AM,3,8,,,,,2,10,,,,,,1,1,1,2,1,1,1,6,4,4,4,6,4,6,6,6,5,6,6,6,6,5,,,,4,6,6,6,5,5,,,,5,2,,,2,2,2,2,2,,,,1,4,5,5,2,,,,3,WEST NYACK,10994,US,12,2,1,2,2,2,2,1,0.892167
1020,1056,1808,8,26,1,2,1,35,658,71,2,3,9:20 AM,11:30 AM,2,8,,,,,3,10,,,,,,2,2,1,2,1,1,1,4,6,6,3,4,5,6,6,6,6,6,6,6,6,4,,,,4,6,6,6,4,4,,,,5,,,,2,2,2,2,2,,,,11,0,3,6,1,9,,,3,,,GERMANY,15,4,2,2,2,2,2,1,0.892167
1021,1057,1808,8,26,1,2,1,35,658,71,2,3,9:30 AM,11:30 AM,3,8,,,,,11,10,,,,,,1,2,1,2,3,4,1,6,3,6,4,4,4,6,6,6,6,6,6,6,6,4,2,,,3,6,6,6,4,4,,,,3,8,,,2,2,2,2,2,,,,3,4,5,5,2,,,,1,SAN ANSELMO,94950,US,6,6,2,4,2,2,1,1,0.892167
1022,1058,1808,8,26,1,2,1,35,658,71,2,3,8:40 AM,11:30 AM,6,8,,,,,2,10,,,,,,1,1,1,2,3,2,2,3,1,1,4,4,4,3,3,4,5,4,5,6,6,3,,,,2,6,6,2,2,2,,,,5,,,,1,2,1,2,1,,,,7,0,4,4,2,,,,1,SAN JOSE,95128,US,4,4,1,3,2,1,2,1,0.892167
1023,1059,1808,8,26,1,2,1,35,658,71,2,3,9:00 AM,11:30 AM,2,8,,,,,4,10,,,,,,1,1,1,2,1,1,2,0,5,5,5,5,5,6,6,6,4,6,5,6,5,5,,,,5,5,5,5,5,5,,,,4,,,,2,2,2,2,2,,,,5,4,5,4,2,,,,3,WILMINGTON,19805,US,12,4,2,3,2,2,2,1,0.892167
1024,1060,1808,8,26,1,2,1,35,658,71,2,3,10:30 AM,11:30 AM,3,8,,,,,2,10,,,,,,1,1,2,0,2,1,2,3,3,3,4,4,3,3,3,4,3,3,3,4,4,3,,,,5,4,4,3,4,0,,,,4,,,,2,2,2,1,0,,,,5,5,5,5,2,,,,1,MILPITAS,95035,US,4,7,2,1,1,1,1,1,0.892167
1025,1061,1808,8,26,1,2,1,35,658,71,2,3,9:30 AM,11:30 AM,2,8,,,,,2,10,,,,,,2,2,2,2,2,2,2,3,6,6,4,6,4,6,6,6,5,6,6,6,0,4,283,271,,5,6,6,6,5,5,,,,5,2,,,2,2,2,2,2,2,,,5,3,3,3,2,,,,3,WASHINGTON,,US,12,3,2,2,2,2,2,1,0.892167
1026,1062,1808,8,26,1,2,1,35,658,71,2,3,9:30 AM,11:30 AM,2,8,,,,,5,10,,,,,,2,2,2,2,2,1,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,,,,4,4,4,4,4,4,,,,4,,,,2,2,2,2,2,,,,6,3,5,5,2,,,,1,REDWOOD CITY,,US,2,7,1,1,2,0,0,1,0.892167
1027,1063,1808,8,26,1,2,1,35,658,71,2,3,9:00 AM,11:30 AM,2,8,,,,,11,10,,,,,,2,2,1,2,1,2,2,3,4,3,4,4,4,0,6,2,6,6,0,5,0,4,,,,4,6,6,4,4,4,,,,5,2,,,2,2,2,2,1,3,,,3,5,5,3,2,,,,3,SUDRURY,,CANADA,13,0,1,2,2,2,2,1,0.892167
1028,1064,1808,8,26,1,2,1,35,658,71,2,3,9:15 AM,11:30 AM,1,2,8,,,,7,10,,,,,,1,1,1,1,3,2,2,4,4,4,4,4,4,4,4,3,5,5,5,6,5,4,,,,4,4,4,4,4,4,,,,5,,,,2,2,2,2,1,,,,12,5,5,5,2,,,,3,LANDENBERG,19350,US,12,6,2,4,2,2,1,1,0.892167
1029,1065,1808,8,26,1,2,1,35,658,71,2,3,9:00 AM,11:30 AM,2,8,,,,,5,10,,,,,,1,1,2,2,1,1,2,2,3,3,5,5,4,5,5,6,6,6,6,6,6,4,20,,,4,5,6,3,4,4,,,,3,9,,,1,2,2,2,2,,,,5,4,5,0,2,,,,3,LEEDS,,ENGLAND,15,3,2,2,2,2,2,1,0.892167
1030,1066,1808,8,26,1,2,1,35,658,71,2,3,9:00 AM,11:30 AM,2,8,,,,,5,10,,,,,,1,1,2,2,1,0,2,2,3,3,4,4,4,4,4,6,6,6,5,6,6,3,20,,,5,5,6,4,4,4,,,,3,9,,,2,2,2,2,2,,,,5,5,5,5,2,,,,3,,,ENGLAND,15,4,2,1,2,2,2,1,0.892167
1031,1067,1808,8,26,1,2,1,35,658,71,2,3,9:00 AM,11:30 AM,3,8,,,,,8,10,,,,,,1,1,1,1,1,2,2,3,2,2,5,4,4,6,6,4,4,5,5,5,4,3,271,2,,4,5,5,3,4,4,,,,4,5,,,2,2,2,2,1,,,,3,4,4,5,1,9,,,3,MORTON,19070,US,12,3,2,4,2,2,2,1,0.892167
1032,1068,1808,8,26,1,2,1,35,658,71,2,3,8:30 AM,11:30 AM,2,8,,,,,7,10,,,,,,2,2,1,1,1,1,2,6,3,6,4,5,5,6,6,5,5,6,6,6,6,4,,,,5,6,6,5,4,5,,,,5,,,,2,2,2,2,2,,,,5,0,4,4,2,,,,3,VALLEY FORGE,19481,US,12,5,2,4,2,2,2,1,0.892167
1033,1069,1808,8,26,1,2,1,35,658,71,2,3,9:00 AM,11:30 AM,1,8,,,,,4,10,,,,,,1,1,2,2,1,1,2,3,3,4,5,5,5,5,5,5,5,6,6,6,5,4,900,,,5,4,4,4,4,4,,,,4,1,,,2,2,2,2,2,,,,7,5,5,5,2,,,,3,WESTCHESTER,19380,US,12,4,2,3,2,2,2,1,0.892167
